1 1:0 2:260 3:105 4:0.0 5:0.0 6:0.0 7:0.712328767123 8:0.287671232877
1 1:0 2:0 3:4 4:0.0 5:0 6:0.0 7:0.0 8:1.0
1 1:0 2:658 3:1 4:0.0 5:0.0 6:0.0 7:0.998482549317 8:0.00151745068285
1 1:0 2:0 3:0 4:0 5:0 6:0 7:0 8:0
1 1:2 2:114 3:10 4:0.015873015873 5:0.0172413793103 6:0.166666666667 7:0.904761904762 8:0.0793650793651
1 1:2 2:13 3:225 4:0.00833333333333 5:0.133333333333 6:0.00881057268722 7:0.0541666666667 8:0.9375
1 1:4 2:14 3:140 4:0.0253164556962 5:0.222222222222 6:0.0277777777778 7:0.0886075949367 8:0.886075949367
1 1:15 2:120 3:10 4:0.103448275862 5:0.111111111111 6:0.6 7:0.827586206897 8:0.0689655172414
1 1:0 2:9 3:394 4:0.0 5:0.0 6:0.0 7:0.0223325062035 8:0.977667493797
1 1:0 2:262 3:0 4:0.0 5:0.0 6:0 7:1.0 8:0.0
1 1:0 2:2 3:45 4:0.0 5:0.0 6:0.0 7:0.0425531914894 8:0.957446808511
1 1:2 2:45 3:19 4:0.030303030303 5:0.0425531914894 6:0.0952380952381 7:0.681818181818 8:0.287878787879
1 1:1 2:30 3:41 4:0.0138888888889 5:0.0322580645161 6:0.0238095238095 7:0.416666666667 8:0.569444444444
1 1:2 2:3 3:187 4:0.0104166666667 5:0.4 6:0.010582010582 7:0.015625 8:0.973958333333
1 1:41 2:77 3:261 4:0.108179419525 5:0.347457627119 6:0.135761589404 7:0.203166226913 8:0.688654353562
1 1:1 2:62 3:310 4:0.00268096514745 5:0.015873015873 6:0.0032154340836 7:0.166219839142 8:0.83109919571
1 1:0 2:124 3:39 4:0.0 5:0.0 6:0.0 7:0.760736196319 8:0.239263803681
1 1:102 2:383 3:51 4:0.190298507463 5:0.210309278351 6:0.666666666667 7:0.714552238806 8:0.0951492537313
1 1:3 2:199 3:33 4:0.0127659574468 5:0.0148514851485 6:0.0833333333333 7:0.846808510638 8:0.140425531915
1 1:0 2:0 3:19 4:0.0 5:0 6:0.0 7:0.0 8:1.0
1 1:17 2:21 3:8 4:0.369565217391 5:0.447368421053 6:0.68 7:0.45652173913 8:0.173913043478
