@relation EntailmentFeatureSet1 
@attribute 'AintersectB' numeric
@attribute 'AdiffB' numeric
@attribute 'BdiffA' numeric
@attribute 'class' {'Yes', 'No'}
@data
0,0,100,'No'
13,16,101,'No'
0,2,69,'No'
0,9,82,'No'
0,28,7,'No'
0,151,0,'No'
1,53,19,'No'
0,30,31,'No'
11,191,3,'No'
11,556,75,'No'
3,158,187,'No'
0,85,0,'No'
1,80,22,'No'
0,127,163,'No'
0,9,1,'No'
0,30,10,'No'
0,427,5,'No'
3,71,305,'No'
20,60,288,'No'
0,39,5,'No'
1,29,10,'No'
18,116,190,'No'
4,84,33,'No'
0,47,33,'No'
0,7,5,'No'
0,106,6,'No'
1,16,426,'No'
0,27,7,'No'
0,5,22,'No'
6,111,363,'No'
0,2,0,'No'
0,30,27,'No'
0,1349,80,'No'
0,2,0,'No'
2,248,39,'No'
3,358,51,'No'
16,38,20,'No'
10,143,155,'No'
0,2,5,'No'
0,1,2,'No'
0,39,17,'No'
0,11,4,'No'
130,175,395,'No'
0,125,431,'No'
44,80,224,'No'
12,122,167,'No'
1,160,543,'No'
0,0,0,'No'
2,10,85,'No'
5,67,35,'No'
0,2,16,'No'
0,11,0,'No'
0,48,2,'No'
0,98,8,'No'
18,19,110,'No'
0,90,7,'No'
5,680,93,'No'
3,12,308,'No'
0,372,39,'No'
0,9,129,'No'
1,13,150,'No'
0,10,97,'No'
3,57,18,'No'
0,13,10,'No'
0,2,27,'No'
1,355,3,'No'
0,0,0,'No'
6,43,51,'No'
0,61,3,'No'
9,558,79,'No'
1,77,34,'No'
0,105,39,'No'
0,78,1,'No'
0,52,11,'No'
0,18,170,'No'
0,64,197,'No'
2,68,91,'No'
0,7,17,'No'
0,88,25,'No'
1,47,194,'No'
0,183,99,'No'
0,6,36,'No'
8,82,74,'No'
0,21,25,'No'
0,39,55,'No'
0,52,105,'No'
0,104,0,'No'
0,4,41,'No'
5,30,40,'No'
0,17,1,'No'
0,134,0,'No'
0,11,0,'No'
0,147,1,'No'
0,0,0,'No'
0,4,0,'No'
0,104,5,'No'
0,1,29,'No'
0,39,4,'No'
2,10,86,'No'
0,17,11,'No'
4,61,339,'No'
0,11,250,'No'
45,311,472,'No'
0,270,25,'No'
0,7,0,'No'
0,47,1,'No'
6,51,43,'No'
0,76,82,'No'
23,564,333,'No'
0,0,151,'No'
0,175,58,'No'
2,23,56,'No'
8,14,202,'No'
17,173,17,'No'
0,47,25,'No'
1,160,13,'No'
4,48,681,'No'
0,32,43,'No'
0,25,0,'No'
0,327,1,'No'
0,175,197,'No'
0,21,0,'No'
0,1,4,'No'
22,486,71,'No'
6,183,451,'No'
5,34,165,'No'
4,101,84,'No'
1,84,87,'No'
0,96,525,'No'
0,90,1,'No'
8,123,203,'No'
71,402,446,'No'
0,62,31,'No'
0,1,1,'No'
0,21,30,'No'
1,484,14,'No'
0,12,14,'No'
2,41,78,'No'
4,84,74,'No'
0,0,62,'No'
37,60,456,'No'
0,0,2,'No'
0,1,5,'No'
0,10,372,'No'
3,24,22,'No'
0,2,21,'No'
0,70,13,'No'
0,1,4,'No'
12,102,65,'No'
0,51,2,'No'
0,52,0,'No'
0,1,0,'No'
1,209,284,'No'
0,13,182,'No'
1,269,37,'No'
8,79,294,'No'
0,88,4,'No'
0,215,55,'No'
0,13,1,'No'
8,579,130,'No'
0,25,58,'No'
0,114,9,'No'
0,106,2,'No'
0,0,0,'No'
0,11,1,'No'
0,9,29,'No'
0,7,10,'No'
0,554,1349,'No'
0,132,0,'No'
0,43,4,'No'
0,40,32,'No'
1,355,3,'No'
0,96,50,'No'
0,4,0,'No'
0,105,39,'No'
3,75,106,'No'
0,47,106,'No'
4,127,66,'No'
0,190,2,'No'
22,49,122,'No'
0,1,37,'No'
0,175,52,'No'
0,21,165,'No'
6,23,43,'No'
0,114,21,'No'
0,76,82,'No'
0,250,79,'No'
0,250,381,'No'
0,7,132,'No'
18,30,188,'No'
0,97,25,'No'
0,13,0,'No'
3,57,38,'No'
0,62,22,'No'
0,13,0,'No'
0,70,50,'No'
0,93,143,'No'
18,172,490,'No'
0,39,0,'No'
0,1349,192,'No'
0,189,50,'No'
0,11,60,'No'
10,475,217,'No'
0,114,25,'No'
0,1,13,'No'
0,5,27,'No'
0,1,17,'No'
0,41,165,'No'
2,58,101,'No'
0,11,0,'No'
20,124,65,'No'
1,12,236,'No'
2,39,370,'No'
0,108,23,'No'
0,1,64,'No'
4,39,233,'No'
0,1,11,'No'
0,71,2,'No'
0,57,38,'No'
0,5,0,'No'
0,1,0,'No'
18,455,46,'No'
8,30,12,'No'
0,30,96,'No'
1,150,17,'No'
0,1,80,'No'
0,0,13,'No'
0,106,22,'No'
0,100,55,'No'
0,2,0,'No'
11,82,146,'No'
0,23,16,'No'
0,4,0,'No'
0,30,1,'No'
1,9,7,'No'
0,34,170,'No'
11,60,12,'No'
0,587,21,'No'
1,92,26,'No'
1,38,114,'No'
0,13,20,'No'
7,30,164,'No'
0,1,0,'No'
